LISTE DES CENTRES DE LA PETITE ENFANCE ET GARDERIES EN FONCTION,,,,,,,,,,,,,
Mise à jour le 1er novembre 2022,,,,,,,,,,,,,
,,,,,,,,,,,,,
Nom de l'installation,Région administrative,Adresse,Municipalité,Code postal,Téléphone,Télécopieur,Adresse courriel,Type de service de garde,Places totales au permis,Places 17 mois ou moins,Place à contribution réduite,Coordonnées géographiques,ARTM
GARDERIE DU NOUVEAU MONDE DE BELOEIL INC.,16 - Montérégie,"682, Nepveu",Beloeil,J3G 5G3,(450) 281-0799,(450) 281-0792,garderielenouveaumondebeloeil@live.ca,GARD,60,10,CR,,1
"GARDERIE L'OURS, LA FOUINE ET LE LION",16 - Montérégie,"1478, rue André-Labadie",Beloeil,J3G 0A3,(450) 464-7564,(450) 464-9025,thepowerdave@gmail.com,GARD,80,10,CR,,1
GARDERIE PIROUETTES ET CARAMBOLES,16 - Montérégie,"821, rue Ange-Aimé-Lebrun",Beloeil,J3G 0P5,(450) 864-0135,,isabelle.dir@pirouettesetcaramboles.ca,GARD,80,10,CR,,1
GARDERIE ÉCO-TENDRESSE,16 - Montérégie,"267, boulevard Cartier",Beloeil,J3G 3R2,(450) 300-2969,,ecotendresse@gmail.com,GARD,54,5,,,1
GARDERIE ÉDUCATIVE LES PETITS DE BELOEIL INC.,16 - Montérégie,"320, boulevard Yvon l'Heureux nord",Beloeil,J3G 5P2,(514) 588-3470,,info@lespetitsdebeloeil.com,GARD,52,10,,,1
L'ÎLE DE NOS TRÉSORS,16 - Montérégie,"94, boulevard Cartier",Beloeil,J3G 5X8,"(450) 600-1255, poste 514",(450) 600-1255,info@gestionmjb.ca,GARD,78,10,CR,,
LES COEURS DE BELOEIL,16 - Montérégie,"223, boulevard Cartier",Beloeil,J3G 3R2,(450) 281-1020,,mams@live.ca,GARD,58,10,,,1
SUR LA ROUTE DES PETITS TRÉSORS INC.,16 - Montérégie,"275, boulevard Sir Wilfrid Laurier, local 101",Beloeil,J3G 4H2,(514) 813-4541,,surlaroutedespetitstresors@outlook.com,GARD,75,15,,,1
ÉCOLE PRÉ MATERNELLE À PETITS PAS INC.,16 - Montérégie,"39, boulevard Cartier",Beloeil,J3G 3R6,,,prematernelleapetitspas@videotron.ca,GARD,42,0,,,1
ABC DU BOISÉ INC.,16 - Montérégie,"671, chemin du Lac",Boucherville,J4B 6W8,(450) 906-4050,,abcduboiseinc@outlook.com,GARD,80,20,CR,,1
CENTRE DE LA PETITE ENFANCE DE BOUCHERVILLE,16 - Montérégie,"656, rue Jacques-Cartier",Boucherville,J4B 5L7,(450) 641-7267,(450) 641-4994,info@cpeboucherville.com,CPE,80,10,CR,,1
CENTRE DE LA PETITE ENFANCE DE BOUCHERVILLE,16 - Montérégie,"530, Chemin du lac",Boucherville,J4B 6X3,(450) 641-7267,(450) 641-4994,brigitte.cpeboucherville@qc.aira.com,CPE,80,20,CR,,1
CENTRE DE LA PETITE ENFANCE DOMISOL,16 - Montérégie,"220, chemin du Tremblay",Boucherville,J4B 8H7,"(514) 599-5900, poste 5142",(450) 655-5088,julie.lachance@rona.ca,CPE,78,10,CR,,1
CENTRE DE LA PETITE ENFANCE LA RUCHE MAGIQUE INC.,16 - Montérégie,"1016, rue Charcot",Boucherville,J4B 8R5,(450) 641-2139,,ruche.magique@ruchemagique.com,CPE,80,10,CR,,1
CENTRE DE LA PETITE ENFANCE LA RUCHE MAGIQUE INC.,16 - Montérégie,"1092, rue Charcot",Boucherville,J4B 8R5,,,ruche.magique@ruchemagique.com,CPE,80,15,CR,,1
CENTRE DE LA PETITE ENFANCE SES AMIS,16 - Montérégie,"238, rue Dupernay, bureau 1",Boucherville,J4B 1G6,(450) 655-1357,(450) 655-1374,julie@cpesesamis.ca,CPE,68,0,CR,,1
CENTRE DE LA PETITE ENFANCE SES AMIS,16 - Montérégie,"238, rue Dupernay",Boucherville,J4B 1G6,(450) 655-1357,(450) 655-1374,julie@cpesesamis.ca,CPE,62,10,CR,,1
GARDERIE AU PETIT BOULOT INC.,16 - Montérégie,"55, rue d'Argenson",Boucherville,J4B 6N9,(450) 906-3300,,Garderieapb@gmail.com,GARD,98,20,CR,,1
LE P'TIT MONDE DE PEGGY INC.,16 - Montérégie,"100, rue De Muy",Boucherville,J4B 4T3,(450) 641-1888,,leptitmondedepeggy@gmail.com,GARD,26,0,,,1
LES ATELIERS CHARLOT L'ESCARGOT INC.,16 - Montérégie,"1052, rue Lionel-Daunais, local 104",Boucherville,J4B 0B2,"(450) 857-3232, poste 221",,annie.montour@charlotlescargot.com,GARD,55,0,,,1
LES ATELIERS CHARLOT L'ESCARGOT INC. II,16 - Montérégie,"1052, rue Lionel-Daunais, suite 103",Boucherville,J4B 0B2,(450) 449-1792,,annie.montour@videotron.ca,GARD,54,0,,,1
LES FLAMBOYANTS DE BOUCHERVILLE,16 - Montérégie,"500, boulevard du Fort St-Louis",Boucherville,J4B 1S4,(450) 283-1018,,boucherville@les-flamboyants.com,GARD,80,20,,,1
LES JOYEUX GALOPINS INC.,16 - Montérégie,"1308, rue de Rouen",Boucherville,J4B 8C3,(450) 449-4991,,joyeuxgalopins@gmail.com,GARD,63,0,CR,,1
LES JOYEUX TROUBADOURS,16 - Montérégie,"635, rue de Verrazano",Boucherville,J4B 7P9,(450) 449-1991,,joytroubadours@gmail.com,GARD,64,0,CR,,1
LES MINIS CACHALOTS,16 - Montérégie,"650, rue Montbrun",Boucherville,J4B 8G9,"(450) 641-0312, poste 22",,hrichard@cachealeau.com,GARD,51,5,CR,,1
AU COEUR DE LA VILLE,16 - Montérégie,"2101, boulevard Lapinière",Brossard,J4W 1L7,"(450) 658-1011, poste 221",,cpemarie@videotron.ca,CPE,60,10,CR,,1
AU PIED DE L'ÉCHELLE (BAOBAB),16 - Montérégie,"2200, rue André",Brossard,J4Z 2Z8,"(450) 678-4812, poste 221",(450) 656-5547,m.martin@apde.ca,CPE,80,10,CR,,1
AU PIED DE L'ÉCHELLE (LES COCOTIERS),16 - Montérégie,"4955, boulevard Grande-Allée",Brossard,J4Z 3G1,"(450) 678-4812, poste 221",(450) 462-9886,ml.turmel@apde.ca,CPE,80,10,CR,,1
AU PIED DE L'ÉCHELLE (LES OLIVIERS),16 - Montérégie,"4205, boulevard Rome",Brossard,J4Y 0A9,"(450) 678-4812, poste 221",(450) 676-3858,j.normandin@apde.ca,CPE,80,10,CR,,1
CENTRE DE JOUR DE BROSSARD,16 - Montérégie,"2405, boulevard Lapinière, bureau B",Brossard,J4Z 2K8,(450) 656-0330,,centredejour0330@gmail.com,GARD,71,13,CR,,1
CENTRE DE LA PETITE ENFANCE SES AMIS,16 - Montérégie,"2165, rue André",Brossard,J4Z 2Z7,(450) 676-2024,(450) 676-2024,julie@cpesesamis.ca,CPE,60,0,CR,,1
CENTRE DE LA PETITE ENFANCE TOUT DOUX,16 - Montérégie,"3605, avenue Cousin",Brossard,J4Z 3V3,(450) 445-0001,(450) 445-0027,info@cpetoutdoux.ca,CPE,80,10,CR,,1
CENTRE DE LA PETITE ENFANCE TOUT DOUX,16 - Montérégie,"3605B, avenue Cousin",Brossard,J4Z 3V3,(450) 445-0001,,,CPE,80,15,CR,,1
GARDERIE AUX PETITES BICHES INC.,16 - Montérégie,"2590, rue Molière",Brossard,J4Y 1L5,(450) 656-1000,(450) 678-3320,gapb@videotron.ca,GARD,80,0,CR,,1
GARDERIE BIA MEL II INC.,16 - Montérégie,"7900, boulevard Taschereau, bureau D103",Brossard,J4X 1C2,(450) 465-2900,(450) 465-2933,Bianca@garderiesbiamel.com,GARD,41,0,,,1
GARDERIE BIA MEL IV INC.,16 - Montérégie,"8005, boulevard du Quartier, C4B, local 201",Brossard,J4Y 0N5,(450) 465-2900,(450) 465-2933,Bianca@garderiesbiamel.com,GARD,80,10,,,1
GARDERIE BRICOLE-AGE INC.,16 - Montérégie,"60-5645, boulevard Grande-Allée",Brossard,J4Z 3G3,(450) 443-3300,(450) 443-3307,info@garderiebricole-age.com,GARD,80,10,,,1
GARDERIE IMAGINATION PRE-SCHOOL DIX30,16 - Montérégie,"7200, boulevard du Quartier, suite 200",Brossard,J4Y 0B5,(450) 904-7200,,andrea.peplow@garderie-imagination.com,GARD,80,15,,,1
GARDERIE LE CHÂTEAU DE RÊVE INC.,16 - Montérégie,"8075, boulevard Taschereau",Brossard,J4Y 1A4,(450) 676-4600,,garderiechateaudereve@bellnet.ca,GARD,100,11,CR,,1
GARDERIE LES CANARIES - CANARIES DAYCARE CENTER,16 - Montérégie,"3140, boulevard Rome",Brossard,J4Y 1V9,(450) 445-4443,(450) 445-3031,info@garderielescanaries.com,GARD,80,25,CR,,1
GARDERIE LES MOMENTS MAGIQUES INC.,16 - Montérégie,"2148, boulevard Lapinière",Brossard,J4W 1L8,(450) 656-5055,,info@lesmomentsmagiques.com,GARD,80,15,CR,,1
GARDERIE LES PETITS OURSONS,16 - Montérégie,"3700, boulevard Matte, bureau 3730",Brossard,J4Y 2Z2,(450) 444-4779,(450) 444-4984,petits.oursons@hotmail.com,GARD,75,29,,,1
GARDERIE LES PETITS TRÉSORS,16 - Montérégie,"1555, boul. Provencher, local 203",Brossard,J4W 1Z3,(450) 550-3881,,petitstresorsbrossard@gmail.com,GARD,71,10,,,1
GARDERIE PETITS ANGES DE BROSSARD,16 - Montérégie,"4095, chemin des Prairies, locaux A-B-C",Brossard,J4Z 3H8,(450) 444-4222,(450) 444-0094,petitsangesdebrossard@bellnet.ca,GARD,80,10,,,1
GARDERIE PETITS ANGES DE BROSSARD 2,16 - Montérégie,"4095, chemin des Prairies, local D",Brossard,J4Z 3H8,"(450) 444-4222, poste 2",,petitsangesdebrossard@bellnet.ca,GARD,32,0,,,1
GARDERIE PIERRE LAPIN,16 - Montérégie,"2460, boulevard Lapinière",Brossard,J4Z 2L8,(514) 804-0222,,garderie.pierrelapin@gmail.com,GARD,48,10,,,1
GARDERIE ROYA 1 INC.,16 - Montérégie,"6205, boulevard Grande-Allée",Brossard,J4Z 3K1,(450) 656-6473,(450) 656-7997,garderies.roya@gmail.com,GARD,80,0,CR,,
GARDERIE ROYA 2 INC.,16 - Montérégie,"6205 A, boulevard Grande-Allée",Brossard,J4Z 3K1,(450) 462-2010,(450) 656-7997,garderies.roya@gmail.com,GARD,80,10,,,1
GARDERIE ÉDUCATIVE L'îLE DES PINGOUINS INC.,16 - Montérégie,"3200, boulevard Rome, suite 1, 2 et 3",Brossard,J4Y 1V9,(450) 445-9999,,liledespingouins@gmail.com,GARD,73,15,,,1
GARDERIE ÉDUCATIVE LE TOURNESOL DE BROSSARD INC.,16 - Montérégie,"415, avenue Van Dyck",Brossard,J4W 2E4,(450) 672-5530,,garderieletournesol@videotron.ca,GARD,80,0,CR,,1
GARDERIE ÉDUCATIVE LES BELLES FRIMOUSSES,16 - Montérégie,"5665, Grande-Allée",Brossard,J4Z 3G3,,,bfrimousses@gmail.com,GARD,42,10,,,1
GARDERIE ÉDUCATIVE MINI PEGASE INC.,16 - Montérégie,"9105, boulevard Tashereau, bureau A",Brossard,J4Y 3B8,(450) 695-3003,(450) 695-1413,garderieminipegase@gmail.com,GARD,80,20,,,1
GROS CALIN NURSERY,16 - Montérégie,"621, avenue Stravinski, suite 400",Brossard,J4X 1Y7,(450) 300-0439,,groscalin15@gmail.com,GARD,33,9,,,1
JARDIN DES PETITS AMIS,16 - Montérégie,"7595, rue Malherbe",Brossard,J4Y 1E6,(450) 676-4816,,jardin-des-petits-amis@videotron.ca,GARD,30,0,CR,,1
LA BERGERIE CENTRE DE LA PETITE ENFANCE,16 - Montérégie,"2760, avenue Barry",Brossard,J4Z 1T6,(450) 678-4990,,cpelabergerie@outlook.com,CPE,44,10,CR,,1
LA PETITE ACADÉMIE MARIE-LAURIER (CAMPUS BROSSARD) INC.,16 - Montérégie,"1555, rue Stravinski, suite 3B",Brossard,J4X 2H5,(450) 923-2787,(450) 923-2291,academie@marielaurier.com,GARD,75,0,,,1
LA PETITE ACADÉMIE MARIE-LAURIER (PLACE EUREKA) INC.,16 - Montérégie,"7305, boulevard Marie-Victorin, bureau 100",Brossard,J4W 1A6,(450) 923-2787,(450) 923-2291,academie@marielaurier.com,GARD,60,10,CR,,1
LA PETITE ACADÉMIE MARIE-LAURIER INC.,16 - Montérégie,"1555, rue Stravinski, bureau 2B",Brossard,J4X 2H5,,,academie@marielaurier.com,GARD,80,10,CR,,1
LA PETITE ÉCOLE DE BROSSARD,16 - Montérégie,"601, avenue Stravinski",Brossard,J4X 1Y7,(450) 465-4588,(450) 466-1248,stripodi@videotron.ca,GARD,80,15,CR,,1
LES HEUREUX PETITS DAUPHINS BROSSARD,16 - Montérégie,"6825, boulevard Milan",Brossard,J4Z 2B5,(514) 550-8601,,garderiepetitapetit@hotmail.com,GARD,80,10,,,1
LES TRÉSORS DE BIA MEL INC.,16 - Montérégie,"7900, boulevard Taschereau, porte D-105",Brossard,J4X 1C2,(450) 465-2900,(450) 465-2933,Bianca@garderiesbiamel.com,GARD,78,18,,,1
LES TRÉSORS DE LA MÈRE M.E.C. INC.,16 - Montérégie,"830, boulevard Provencher",Brossard,J4W 1Y6,(579) 720-6777,,lestresorsdelamere@gmail.com,GARD,80,20,,,1
CENTRE DE LA PETITE ENFANCE KATERI INC.,16 - Montérégie,"6, chemin Saint-François-Xavier",Candiac,J5R 1A2,(450) 632-4855,(450) 632-8643,cpekateridg@videotron.ca,CPE,65,5,CR,,1
CENTRE DE LA PETITE ENFANCE KATERI INC.,16 - Montérégie,"9, chemin Saint-François-Xavier",Candiac,J5R 1A1,(450) 444-7155,(450) 444-0164,cpekateridg@videotron.ca,CPE,62,10,CR,,1
GARDERIE KINDERVILLE TM DE CANDIAC III,16 - Montérégie,"151B, boulevard Jean-Leman",Candiac,J5R 4V5,(450) 619-0101,(450) 923-2291,academie@marielaurier.com,GARD,73,0,,,1
GARDERIE LA JOYEUSE MARMAILLE,16 - Montérégie,"20, rue Charlemagne",Candiac,J5R 6P7,(450) 619-7838,(450) 619-7839,garderiecandiac2@hotmail.com,GARD,80,0,CR,,1
GARDERIE LES MINIS TOUCHE À TOUT DE CANDIAC,16 - Montérégie,"31, rue Radisson",Candiac,J5R 0G1,"(450) 638-6954, poste 201",(450) 632-6954,garderie.mini.tat@gmail.com,GARD,72,0,,,1
GARDERIE LES PETITS TOUCHE À TOUT DE CANDIAC,16 - Montérégie,"41, rue Radisson",Candiac,J5R 0G1,"(450) 638-6954, poste 201",(450) 638-6954,garderie.mini.tat@gmail.com,GARD,64,15,CR,,1
GARDERIE STAR CANDIAC,16 - Montérégie,"30, avenue Charlemagne",Candiac,J5R 6P7,(450) 444-2523,,garderiestardaycare@gmail.com,GARD,80,15,CR,,1
INSTALLATION LA PETITE SOURIS VERTE,16 - Montérégie,"25, chemin Haendel",Candiac,J5R 1R7,"(450) 635-5266, poste 203",(450) 635-5144,abittencourt.cpedg@cpelespetitessouris.com,CPE,80,15,CR,,1
LES PETITS SOLEILS D'ISABELLE,16 - Montérégie,"150, boulevard Jean-Leman, suite 600",Candiac,J5R 5E1,(450) 907-7717,,iverdon@lespetitssoleilsdisabelle.ca,GARD,80,14,,,1
LES PETITS SOLEILS D'ISABELLE II,16 - Montérégie,"150, boulevard Jean-Leman, suite 400",Candiac,J5R 5E1,(450) 907-7717,,lespetitssoleilsdisabelle@videotron.ca,GARD,13,0,,,1
"CENTRE DE LA PETITE ENFANCE ""PLAISIR D'ENFANT""",16 - Montérégie,"2872, rue Lareau",Carignan,J3L 0K5,(450) 658-1011,,dgplaisirdenfant@gmail.com,CPE,62,10,CR,,1
"CENTRE DE LA PETITE ENFANCE ""PLAISIR D'ENFANT""",16 - Montérégie,"1860, rue Henriette",Carignan,J3L 6V5,,,dgplaisirdenfant@gmail.com,CPE,78,20,CR,,1
GARDERIE COUCOU CARIBOU INC.,16 - Montérégie,"2379, chemin Chambly",Carignan,J3L 4N4,(450) 403-1850,,garderie.coucoucaribou@gmail.com,GARD,80,20,CR,,1
ACADÉMIE PRÉSCOLAIRE ARTISTIQUE ILDIKO,16 - Montérégie,"1890, boulevard Anne-Le Seigneur",Chambly,J3L 0H9,"(450) 403-3960, poste 102",,administration@academieildiko.ca,GARD,80,15,,,1
C.P.E. LES FRIMOUSSES DU FORT,16 - Montérégie,"1484, boulevard Brassard",Chambly,J3L 5W3,(450) 658-3941,,cpefrimousses@videotron.ca,CPE,60,10,CR,,1
C.P.E. LES FRIMOUSSES DU FORT,16 - Montérégie,"1484, boulevard Brassard",Chambly,J3L 5W3,(450) 658-3941,,cpefrimousses@videotron.ca,CPE,60,0,CR,,1
CENTRE DE LA PETITE ENFANCE LA BOÎTE À SOLEIL,16 - Montérégie,"1160, rue Denault",Chambly,J3L 2T9,(450) 658-0055,,nathaliecharbonneau.cpe@outlook.com,CPE,74,5,CR,,1
CHEZ PIERROT ET PIERRETTE,16 - Montérégie,"666, rue Larivière",Chambly,J3L 1L3,(450) 447-9973,,garderiepierrotetpierrette@hotmail.com,GARD,80,10,CR,,1
FRANQUETTE LA GRENOUILLE,16 - Montérégie,"1476, boulevard Franquet",Chambly,J3L 6K8,(450) 447-1116,(450) 447-1197,direction@franzoo.ca,CPE,80,10,CR,,1
GARDERIE ÉDUCATIVE LE VIREVENT INC.,16 - Montérégie,"2120, avenue Bourgogne",Chambly,J3L 1Z7,(450) 403-6061,(450) 403-6062,julie@garderievirevent.com,GARD,42,0,,,1
GARDERIE ÉDUCATIVE LES MEILLEURS AMIS INC.,16 - Montérégie,"2274, avenue Bourgogne",Chambly,J3L 2A2,(438) 498-7822,,,GARD,80,15,,,1
GARDERIE ÉDUCATIVE LES MEILLEURS AMIS INSTALLATION 2 INC.,16 - Montérégie,"1226, avenue Bourgogne",Chambly,J3L 1X4,(450) 403-0541,,brigitte@garderiemeilleursamis.ca,GARD,31,5,,,1
L'ENFANT ZOO,16 - Montérégie,"3000, rue Anne-Leseigneur",Chambly,J3L 6H6,(450) 658-1633,(450) 658-6113,,CPE,70,10,CR,,1
À CHACUN SON HISTOIRE - CHAMBLY,16 - Montérégie,"1811, boul. de Perigny",Chambly,J3L 4C3,(450) 403-3123,,aurelie@achacunsonhistoire.com,GARD,80,10,,,1
CENTRE DE LA PETITE ENFANCE CACHALOT INC.,16 - Montérégie,"202, boulevard Brisebois",Châteauguay,J6K 5G7,(450) 699-2581,,direction@cpecachalot.com,CPE,80,10,CR,,1
CENTRE DE LA PETITE ENFANCE CACHALOT INC.,16 - Montérégie,"202, boulevard Brisebois",Châteauguay,J6K 5G7,(450) 699-2581,(450) 699-6743,direction@cpecachalot.com,CPE,8,0,CR,,1
"CENTRE DE LA PETITE ENFANCE LES LUTINS, COOP DE CHÂTEAUGUAY",16 - Montérégie,"105, rue Saint-Eugène",Châteauguay,J6K 1Y9,(450) 691-8287,(450) 699-3565,cpelutins.direction@outlook.com,CPE,60,5,CR,,1
CENTRE DE LA PETITE ENFANCE MAMIE SOLEIL,16 - Montérégie,"325, boulevard Kennedy",Châteauguay,J6K 4S5,(450) 699-9886,(450) 699-3895,cpe@mamiesoleil.ca,CPE,80,15,CR,,1
CENTRE DE LA PETITE ENFANCE MAMIE-SOLEIL,16 - Montérégie,"323, boulevard Kennedy",Châteauguay,J6K 4S5,(450) 699-9886,(450) 699-3895,cpe@mamiesoleil.ca,CPE,60,10,CR,,1
CENTRE DE LA PETITE ENFANCE TAM-TAM,16 - Montérégie,"130, boulevard Primeau",Châteauguay,J6K 3T6,(450) 699-0962,(450) 699-1266,zelia.rodrigues@cpetamtam.ca,CPE,80,20,CR,,1
CENTRE DE LA PETITE ENFANCE TAM-TAM,16 - Montérégie,"245, rue Principale",Châteauguay,J6K 1G3,,,,CPE,80,10,CR,,1
GARDERIE DIANA INC.,16 - Montérégie,"221, boulevard Saint-Jean-Baptiste",Châteauguay,J6K 3B9,(450) 699-1942,,cecilehujh@gmail.com,GARD,80,10,CR,,1
GARDERIE LE NID D'OISEAU,16 - Montérégie,"192, rue Principale",Châteauguay,J6J 3H2,(450) 691-7083,(450) 691-1653,ram_singh120@hotmail.com,GARD,80,0,CR,,1
GARDERIE NOTRE FUTUR,16 - Montérégie,"435, boulevard Saint-Francis",Châteauguay,J6J 1Z6,(514) 812-6315,(514) 228-3892,garderienotrefutur@outlook.com,GARD,61,10,,,1
GARDERIKIRI,16 - Montérégie,"100, rue Kepler, bureaux 5-6",Châteauguay,J6K 5E4,(514) 910-7544,,carrolllepage@gmail.com,GARD,62,10,,,1
LA FORÊT ENCHANTÉE,16 - Montérégie,"262, boulevard Albert-Einstein",Châteauguay,J6K 0A2,(450) 691-6354,,direction@cpelesgnomes.com,CPE,62,15,CR,,1
LE CHÂTEAU DES ADORABLES,16 - Montérégie,"241, boulevard Maple",Châteauguay,J6J 5J4,,,,CPE,80,5,CR,,1
LE JARDIN DES TRÉSORS,16 - Montérégie,"262A, boulevard Albert-Einstein",Châteauguay,J6K 0A2,,,direction@cpelesgnomes.com,CPE,41,5,CR,,1
LES PETITS LAPINS 1,16 - Montérégie,"218, boulevard-Saint-Jean-Baptiste, bureau 101",Châteauguay,J6K 3B8,(450) 844-8880,,chrissy_1481@hotmail.com,GARD,80,20,,,1
LES PETITS LAPINS 2,16 - Montérégie,"218, boulevard Saint-Jean-Baptiste, bureau 201",Châteauguay,J6K 3B8,(450) 844-8880,,lespetitslapins@hotmail.com,GARD,80,10,,,1
ZOOKAKOU INC.,16 - Montérégie,"35D, boulevard d'Anjou",Châteauguay,J6J 2P7,(450) 699-7726,,kamounbassem@hotmail.com,GARD,75,15,,,1
C.P.E. PETIT À PETIT,16 - Montérégie,"4570, rue L'Heureux",Contrecoeur,J0L 1C0,(450) 587-7051,,,CPE,57,5,CR,,1
C.P.E. PETIT À PETIT,16 - Montérégie,"1550, rue des Saules",Contrecoeur,J0L 1C0,(450) 587-7051,,cpepetitapetit@videotron.ca,CPE,62,10,CR,,1
GARDERIE LE PETIT MONDE DE CONTRECOEUR,16 - Montérégie,"4840, rue des Ormes",Contrecoeur,J0L 1C0,,,lepetitmondedecontrecoeur@tlb.sympatico.ca,GARD,80,10,CR,,1
"COIN DES LUTINS, COTEAU DU LAC INC.",16 - Montérégie,"335, chemin du Fleuve",Coteau-du-Lac,J0P 1B0,(450) 763-5387,(450) 308-3309,info@coindeslutins.com,GARD,100,15,CR,,0
"COIN DES LUTINS, COTEAU-DU-LAC II INC.",16 - Montérégie,"170, rue de Beaujeu",Coteau-du-Lac,J0P 1B0,(450) 308-3308,(450) 308-3309,info@coindeslutins.com,GARD,100,25,CR,,0
GARDERIE ÉDUCATIVE LE CERF-VOLANT INC.,16 - Montérégie,"107, rue Théophile-Brassard",Coteau-du-Lac,J0P 1B0,(450) 913-0118,,direction@garderiecerfvolant.com,GARD,51,10,,,0
"CENTRE DE LA PETITE ENFANCE LES CHÉRUBINS, INC.",16 - Montérégie,"1, montée des Bouleaux",Delson,J5B 1L1,(450) 632-3581,(450) 632-2289,cherubins@videotron.ca,CPE,80,10,CR,,1
GARDERIE DES MOTS MAGIQUES INC.,16 - Montérégie,"66, route 132, local 240",Delson,J5B 0A1,(450) 638-1333,,desmotsmagiques@gmail.com,GARD,70,10,CR,,1
LES DOUX CHATONS,16 - Montérégie,"67C, boulevard Georges-Gagné sud",Delson,J5B 1L1,(450) 509-0765,,lesdouxchatons@hotmail.ca,GARD,33,0,,,1
À CHACUN SON HISTOIRE - DELSON INC.,16 - Montérégie,"35, boulevard Georges-Gagné S",Delson,J5B 2E4,(514) 883-5276,,sophie@achacunsonhistoire.com,GARD,80,10,,,1
LES PETITES POMMES,16 - Montérégie,"2650, rue du Parc",Franklin,J0S 1N0,(450) 827-2667,(450) 827-2511,direction@cpeabracadabra.com,CPE,62,10,CR,,0
SERVICE DE GARDE HAUT COMME TROIS POMMES (DIVISION LEAHY INC.),16 - Montérégie,"2620, route 209",Franklin,J0S 1N0,"(450) 827-2544, poste 312",(450) 827-2470,servicedegarde@vergersleahy.com,GARD,43,10,,,0
"CENTRE DE LA PETITE ENFANCE ""LA MAGIE ROSE"" INC.",16 - Montérégie,"3144, boulevard Taschereau",Greenfield Park,J4V 2H1,(450) 465-4724,,cpelamagierose@bellnet.ca,CPE,54,5,CR,,1
CENTRE DE LA PETITE ENFANCE LA PETITE ÉCOLE,16 - Montérégie,"324, rue Hubert",Greenfield Park,J4V 1S2,(450) 465-0800,,cpelapetiteecole@videotron.ca,CPE,60,0,CR,,1
